,2015,2016,2017,2018,2019,2020,2021,2022
Alemania,74.489,74.208,78.199,81.684,86.307,17.779,9.146,41.551
Argentina,170.960,175.488,205.465,216.041,214.608,45.092,14.049,80.426
Aruba,217,242,190,200,300,33,94,124
Australia,41.568,42.870,41.810,39.565,41.347,6.383,572,9.348
Austria,8.154,8.187,8.874,9.083,9.622,1.664,841,4.233
Bélgica,15.524,16.697,16.181,16.655,16.953,2.170,2.020,10.280
Bielorrusia,725,756,1.359,553,596,133,105,234
Bolivia,128.943,136.805,146.660,158.974,188.642,52.445,4.340,97.776
Brasil,148.312,148.296,173.753,177.711,193.898,34.446,10.542,89.418
Bulgaria,1.276,1.490,1.490,1.714,1.668,304,331,1.133
Canadá,70.560,71.833,77.563,86.634,94.475,19.383,7.872,40.662
Chile,984.584,1.055.880,1.101.055,1.159.188,1.196.234,288.397,36.744,365.621
China (R.P.),19.243,25.648,31.408,37.740,41.067,5.748,2.231,7.712
Colombia,165.384,189.754,200.812,219.452,223.943,48.950,40.952,133.035
Corea del Sur,23.094,21.347,29.323,32.133,29.652,8.990,549,4.397
Costa Rica,24.874,29.836,18.468,17.387,21.258,4.087,2.618,19.382
Croacia,842,984,1.056,1.101,1.328,282,194,785
Cuba,4.604,4.984,4.208,9.724,12.173,2.025,243,2.268
Dinamarca,6.737,6.501,6.534,7.124,7.394,1.552,665,4.879
Ecuador,256.127,318.172,288.987,293.231,339.486,66.547,9.869,156.940
EE.UU.,545.212,586.479,598.685,641.280,656.991,127.555,177.000,464.759
Egipto,413,347,247,292,343,55,97,174
El Salvador,6.644,5.962,6.835,5.884,5.856,710,739,5.088
Eslovaquia,1.450,1.717,1.529,1.777,2.270,345,200,1.287
Eslovenia,930,913,978,1.157,1.286,149,276,958
España,138.902,144.927,147.214,147.830,158.118,28.497,32.855,94.665
Filipinas,2.906,3.417,3.515,3.405,4.642,873,205,2.817
Finlandia,2.765,2.798,2.646,2.849,2.594,543,192,1.226
Francia,88.921,92.316,96.283,100.951,108.873,16.350,12.909,54.150
Grecia,1.455,1.758,2.139,2.526,2.752,402,481,2.148
Guatemala,4.489,6.249,6.127,6.621,8.244,1.112,1.841,6.118
Honduras,2.496,3.172,2.751,3.432,3.946,638,781,2.885
Hong Kong,2.538,2.912,3.024,4.191,4.101,975,45,343
Hungría,2.002,1.936,2.106,2.352,2.705,559,616,1.966
India,5.684,5.900,7.201,8.742,9.505,1.558,551,4.955
Indonesia,1.490,2.028,2.422,2.994,4.168,519,70,750
Irlanda,6.220,6.453,6.588,7.539,7.347,1.002,414,4.386
Israel,13.764,14.219,14.130,15.285,16.664,3.309,3.305,13.432
Italia,60.385,66.697,73.955,73.653,73.261,11.336,10.951,39.985
Japón,55.311,47.090,48.171,47.605,40.734,9.666,1.079,5.166
Lituania,814,1.043,1.142,1.348,1.303,351,192,949
Malasia,2.052,1.721,2.070,2.307,2.434,294,39,514
Marruecos,287,366,295,347,429,49,37,171
México,76.368,87.443,93.763,103.620,128.829,22.592,24.290,76.434
Nicaragua,1.480,1.873,2.041,1.667,1.836,266,222,987
Noruega,5.894,5.523,5.449,5.499,5.668,1.043,326,2.538
Nueva Zelandia,6.478,8.103,8.268,7.693,7.511,771,119,1.642
Paises Bajos (Holanda),28.606,33.582,34.979,35.629,36.526,5.734,3.272,22.088
Panamá,17.539,19.834,20.251,22.036,22.386,3.660,2.083,12.188
Paraguay,8.185,8.232,11.438,11.560,11.351,2.348,1.444,4.672
Polonia,8.140,7.894,8.396,9.271,10.815,2.207,1.838,7.389
Portugal,6.299,7.154,7.905,8.838,9.733,1.606,1.086,5.764
Pto. Rico,905,879,802,861,1.406,165,330,974
Reino Unido,63.213,69.302,69.506,74.124,71.322,11.682,2.782,35.446
Rep. Checa,4.346,4.799,4.767,5.509,6.030,962,571,3.497
Rep. Dominicana,3.394,3.341,7.132,8.882,8.842,1.322,1.997,7.411
Rumania,2.192,2.647,2.839,3.336,3.540,658,1.035,3.086
Rusia,8.145,9.395,8.648,8.921,10.152,2.669,2.570,4.323
Singapur,1.936,2.070,2.096,2.608,2.666,240,48,635
Sudáfrica,2.999,2.468,2.569,3.008,3.171,443,76,1.034
Suecia,11.530,11.170,11.298,11.624,11.531,2.516,1.630,5.341
Suiza,23.790,23.965,24.133,24.046,23.696,4.900,4.199,12.559
Tailandia,1.527,1.681,1.561,1.919,1.975,289,65,501
Taiwán,5.321,5.952,7.100,8.385,8.477,1.830,143,851
Trinidad y Tobago,665,601,637,581,778,82,42,239
Turquía,2.675,3.399,3.150,3.483,3.418,791,515,2.030
Ucrania,2.226,2.322,2.482,2.472,3.227,891,956,1.717
Uruguay,14.391,18.329,20.187,22.932,22.870,3.750,1.798,9.081
Venezuela,42.111,59.192,196.495,367.739,99.856,7.351,0,0
Vietnam,764,1.077,578,776,752,117,32,295
Resto del Mundo,11.243,11.836,10.421,12.150,13.906,2.381,2.010,7.457