pais;Año2004;Año 2005;Año 2006;Año 2007;Año 2008;año 2009;año 2010;año 2011;año 2012;año 2013;año 2014;año 2015;año 2016;año 2017;año 2018;año 2019;año 2020;año 2021;año 2022
Alemania;35821;43661;43760;50445;52173;51864;53201;56197;62051;62570;68703;74489;74208;78199;81684;86307;17779;9146;41551
Argentina;50272;61686;69256;82722;97478;121172;127062;147403;158950;155145;155931;170960;175488;205465;216041;214608;45092;14049;80426
Aruba;651;463;443;483;260;254;253;286;307;355;186;217;242;190;200;300;33;94;124
Australia;16534;20325;22179;25617;28542;30947;29659;30436;35745;36373;41842;41568;42870;41810;39565;41347;6383;572;9348
Austria;4652;5933;6144;6693;6025;6087;6454;6791;7498;7813;7964;8154;8187;8874;9083;9622;1664;841;4233
Bélgica;8369;8984;8990;12005;12740;11874;11520;12383;13214;13893;15398;15524;16697;16181;16655;16953;2170;2020;10280
Bielorrusia;579;816;758;464;332;330;551;367;781;512;431;725;756;1359;553;596;133;105;234
Bolivia;66933;72910;85365;87399;86619;93408;86181;88042;101546;111983;126689;128943;136805;146660;158974;188642;52445;4340;97776
Brasil;34416;44543;45265;53558;64573;82764;87674;117537;126085;143538;147875;148312;148296;173753;177711;193898;34446;10542;89418
Bulgaria;193;326;437;550;740;753;686;917;1064;965;1248;1276;1490;1490;1714;1668;304;331;1133
Canadá;26665;35196;41443;43992;51975;54595;52955;57454;61362;62820;68194;70560;71833;77563;86634;94475;19383;7872;40662
Chile;306275;344296;420801;470457;452705;464153;595944;741717;806929;886485;903793;984584;1055880;1101055;1159188;1196234;288397;36744;365621
China (R.P.);4990;5295;7884;7465;8043;9257;9484;11896;12180;12864;16607;19243;25648;31408;37740;41067;5748;2231;7712
Colombia;39733;49143;54505;62811;76559;87225;98642;112816;133975;134725;151876;165384;189754;200812;219452;223943;48950;40952;133035
Corea del Sur;5779;6705;7699;8878;9840;7824;10157;12059;13318;14000;17265;23094;21347;29323;32133;29652;8990;549;4397
Costa Rica;5024;5820;5192;6896;7630;7842;8765;9302;9319;9489;11452;24874;29836;18468;17387;21258;4087;2618;19382
Croacia;298;324;483;617;824;944;681;864;884;848;981;842;984;1056;1101;1328;282;194;785
Cuba;1165;1634;2115;2480;3285;5139;4855;4172;3755;3562;4248;4604;4984;4208;9724;12173;2025;243;2268
Dinamarca;2927;4000;4794;5031;5854;5903;5760;6023;5884;5761;6221;6737;6501;6534;7124;7394;1552;665;4879
Ecuador;110998;101489;112100;119471;128063;136054;152445;160841;176071;208358;223995;256127;318172;288987;293231;339486;66547;9869;156940
EE.UU.;278025;330358;330845;381828;420608;426325;417232;411935;447218;487328;514227;545212;586479;598685;641280;656991;127555;177000;464759
Egipto;77;81;94;98;88;131;141;222;225;209;326;413;347;247;292;343;55;97;174
El Salvador;1722;1920;2226;2737;2822;2938;2663;4948;5746;5404;5100;6644;5962;6835;5884;5856;710;739;5088
Eslovaquia;189;242;566;601;887;991;910;898;1139;1280;1282;1450;1717;1529;1777;2270;345;200;1287
Eslovenia;820;1109;1247;1031;1495;1062;881;883;797;915;919;930;913;978;1157;1286;149;276;958
España;49779;68595;75976;72180;84906;90714;96666;105231;111041;122567;131174;138902;144927;147214;147830;158118;28497;32855;94665
Filipinas;652;717;1076;1783;2528;2492;2268;2628;2701;2597;3214;2906;3417;3515;3405;4642;873;205;2817
Finlandia;1662;2096;2214;2233;2510;2334;2451;2445;2628;2865;3033;2765;2798;2646;2849;2594;543;192;1226
Francia;44518;52876;54311;59781;63920;66071;66985;72900;81851;81904;82260;88921;92316;96283;100951;108873;16350;12909;54150
Grecia;1386;1728;1504;1754;2011;1659;1632;1476;1233;1288;1572;1455;1758;2139;2526;2752;402;481;2148
Guatemala;1962;2307;2194;2468;3033;2971;2797;3451;3486;3829;3900;4489;6249;6127;6621;8244;1112;1841;6118
Honduras;884;1082;1142;1336;1342;1375;1477;1930;1988;2349;2310;2496;3172;2751;3432;3946;638;781;2885
Hong Kong;480;504;591;513;379;369;615;952;1027;1455;1977;2538;2912;3024;4191;4101;975;45;343
Hungría;1074;1437;1297;1812;2227;1439;1230;1334;1369;1877;1800;2002;1936;2106;2352;2705;559;616;1966
India;989;1359;1470;2069;3046;3406;3526;3471;4165;4454;5265;5684;5900;7201;8742;9505;1558;551;4955
Indonesia;536;567;362;775;1143;1114;1432;1533;1584;1891;2103;1490;2028;2422;2994;4168;519;70;750
Irlanda;5004;6582;7285;8776;10022;7587;6346;5525;5655;5904;5915;6220;6453;6588;7539;7347;1002;414;4386
Israel;8512;9367;10656;11740;12569;13657;12978;12809;13082;11809;13615;13764;14219;14130;15285;16664;3309;3305;13432
Italia;29390;33640;33872;34622;39825;40426;41831;45192;46845;47624;55109;60385;66697;73955;73653;73261;11336;10951;39985
Japón;29834;35522;36827;39864;46059;40018;30604;43794;56526;67639;59853;55311;47090;48171;47605;40734;9666;1079;5166
Lituania;148;208;385;484;742;441;487;523;600;844;868;814;1043;1142;1348;1303;351;192;949
Malasia;285;345;512;526;869;748;916;1246;1155;1556;1898;2052;1721;2070;2307;2434;294;39;514
Marruecos;415;73;117;261;101;136;130;229;225;241;264;287;366;295;347;429;49;37;171
México;25138;29558;29820;31639;30589;28623;38097;46005;51229;60270;67016;76368;87443;93763;103620;128829;22592;24290;76434
Nicaragua;880;945;912;1090;1062;1203;1117;1269;1393;1287;1421;1480;1873;2041;1667;1836;266;222;987
Noruega;3698;3889;4715;5144;6188;5701;5675;5827;5923;5913;6127;5894;5523;5449;5499;5668;1043;326;2538
Nueva Zelandia;2911;3504;4149;4841;5302;5263;5363;5134;5616;5406;6578;6478;8103;8268;7693;7511;771;119;1642
Paises Bajos (Holanda);16465;17529;17849;24262;27031;25530;24795;24486;24831;25299;26765;28606;33582;34979;35629;36526;5734;3272;22088
Panamá;4250;7629;8358;6510;7344;8956;10718;10960;12908;15121;16367;17539;19834;20251;22036;22386;3660;2083;12188
Paraguay;1707;1974;2046;2396;2775;3914;3914;4631;4756;5104;6452;8185;8232;11438;11560;11351;2348;1444;4672
Polonia;2450;3678;4661;5256;8169;7510;6140;6268;6076;7960;7224;8140;7894;8396;9271;10815;2207;1838;7389
Portugal;1712;2400;2205;2559;3264;3344;3506;4027;4600;5249;5808;6299;7154;7905;8838;9733;1606;1086;5764
Pto. Rico;1507;1182;842;1282;683;501;506;557;591;664;691;905;879;802;861;1406;165;330;974
Reino Unido;49885;59218;60277;67067;66455;58629;54182;55415;56386;56783;61234;63213;69302;69506;74124;71322;11682;2782;35446
Rep. Checa;1976;2546;3005;3386;3624;3569;3052;3211;3568;4336;3659;4346;4799;4767;5509;6030;962;571;3497
Rep. Dominicana;1323;2045;2318;2424;3122;4676;3719;3234;2800;2962;2768;3394;3341;7132;8882;8842;1322;1997;7411
Rumania;220;354;508;678;1398;1252;1237;1511;1794;1975;1966;2192;2647;2839;3336;3540;658;1035;3086
Rusia;2070;2518;3039;4100;5560;5373;5487;7429;8469;8966;9405;8145;9395;8648;8921;10152;2669;2570;4323
Singapur;366;382;482;565;1014;661;868;1348;1252;1523;1868;1936;2070;2096;2608;2666;240;48;635
Sudáfrica;1811;2150;2265;2766;2666;2444;2689;2994;2943;2672;2604;2999;2468;2569;3008;3171;443;76;1034
Suecia;6139;7072;7952;9185;9931;8971;9337;9895;10664;11014;11480;11530;11170;11298;11624;11531;2516;1630;5341
Suiza;14688;16701;16148;18156;17752;18169;18217;18832;20310;21612;22515;23790;23965;24133;24046;23696;4900;4199;12559
Tailandia;270;306;273;376;937;603;647;799;1023;1316;1348;1527;1681;1561;1919;1975;289;65;501
Taiwán;1231;1482;1753;1793;2406;2057;2269;2489;2991;3243;3635;5321;5952;7100;8385;8477;1830;143;851
Trinidad y Tobago;217;248;256;335;334;366;460;364;499;602;604;665;601;637;581;778;82;42;239
Turquía;424;423;596;722;942;820;950;1547;1580;1971;1950;2675;3399;3150;3483;3418;791;515;2030
Ucrania;390;528;823;1039;1744;1485;1389;1726;1766;1883;2144;2226;2322;2482;2472;3227;891;956;1717
Uruguay;3830;5111;5290;6121;7962;8648;8219;10303;11846;12509;13821;14391;18329;20187;22932;22870;3750;1798;9081
Venezuela;19311;24231;24004;27633;33871;36789;38469;50185;65930;158215;48411;42111;59192;196495;367739;99856;7351;0;0
Vietnam;63;38;76;155;536;228;229;605;822;943;868;764;1077;578;776;752;117;32;295
Resto del Mundo;4410;6661;9742;7614;7567;7883;8809;13694;9853;8953;11322;11243;11836;10421;12150;13906;2381;2010;7457
TOTAL;1349959;1570566;1720746;1916400;2057620;2139961;2299187;2597803;2845623;3163639;3214934;3455709;3744461;4032339;4419430;4371787;896523;444331;2009275
