,Alemania,Argentina,Aruba,Australia,Austria,Bélgica,Bielorrusia,Bolivia,Brasil,Bulgaria,Canadá,Chile,China (R.P.),Colombia,Corea del Sur,Costa Rica,Croacia,Cuba,Dinamarca,Ecuador,EE.UU.,Egipto,El Salvador,Eslovaquia,Eslovenia,España,Filipinas,Finlandia,Francia,Grecia,Guatemala,Honduras,Hong Kong,Hungría,India,Indonesia,Irlanda,Israel,Italia,Japón,Lituania,Malasia,Marruecos,México,Nicaragua,Noruega,Nueva Zelandia,Paises Bajos (Holanda),Panamá,Paraguay,Polonia,Portugal,Pto. Rico,Reino Unido,Rep. Checa,Rep. Dominicana,Rumania,Rusia,Singapur,Sudáfrica,Suecia,Suiza,Tailandia,Taiwán,Trinidad y Tobago,Turquía,Ucrania,Uruguay,Venezuela,Vietnam,Resto del Mundo
2004,"35.821,00","50.272,00","651,00","16.534,00","4.652,00","8.369,00","579,00","66.933,00","34.416,00","193,00","26.665,00","306.275,00","4.990,00","39.733,00","5.779,00","5.024,00","298,00","1.165,00","2.927,00","110.998,00","278.025,00","77,00","1.722,00","189,00","820,00","49.779,00","652,00","1.662,00","44.518,00","1.386,00","1.962,00","884,00","480,00","1.074,00","989,00","536,00","5.004,00","8.512,00","29.390,00","29.834,00","148,00","285,00","415,00","25.138,00","880,00","3.698,00","2.911,00","16.465,00","4.250,00","1.707,00","2.450,00","1.712,00","1.507,00","49.885,00","1.976,00","1.323,00","220,00","2.070,00","366,00","1.811,00","6.139,00","14.688,00","270,00","1.231,00","217,00","424,00","390,00","3.830,00","19.311,00","63,00","4.410,00"
2005,"43.661,00","61.686,00","463,00","20.325,00","5.933,00","8.984,00","816,00","72.910,00","44.543,00","326,00","35.196,00","344.296,00","5.295,00","49.143,00","6.705,00","5.820,00","324,00","1.634,00","4.000,00","101.489,00","330.358,00","81,00","1.920,00","242,00","1.109,00","68.595,00","717,00","2.096,00","52.876,00","1.728,00","2.307,00","1.082,00","504,00","1.437,00","1.359,00","567,00","6.582,00","9.367,00","33.640,00","35.522,00","208,00","345,00","73,00","29.558,00","945,00","3.889,00","3.504,00","17.529,00","7.629,00","1.974,00","3.678,00","2.400,00","1.182,00","59.218,00","2.546,00","2.045,00","354,00","2.518,00","382,00","2.150,00","7.072,00","16.701,00","306,00","1.482,00","248,00","423,00","528,00","5.111,00","24.231,00","38,00","6.661,00"
2006,"43.760,00","69.256,00","443,00","22.179,00","6.144,00","8.990,00","758,00","85.365,00","45.265,00","437,00","41.443,00","420.801,00","7.884,00","54.505,00","7.699,00","5.192,00","483,00","2.115,00","4.794,00","112.100,00","330.845,00","94,00","2.226,00","566,00","1.247,00","75.976,00","1.076,00","2.214,00","54.311,00","1.504,00","2.194,00","1.142,00","591,00","1.297,00","1.470,00","362,00","7.285,00","10.656,00","33.872,00","36.827,00","385,00","512,00","117,00","29.820,00","912,00","4.715,00","4.149,00","17.849,00","8.358,00","2.046,00","4.661,00","2.205,00","842,00","60.277,00","3.005,00","2.318,00","508,00","3.039,00","482,00","2.265,00","7.952,00","16.148,00","273,00","1.753,00","256,00","596,00","823,00","5.290,00","24.004,00","76,00","9.742,00"
2007,"50.445,00","82.722,00","483,00","25.617,00","6.693,00","12.005,00","464,00","87.399,00","53.558,00","550,00","43.992,00","470.457,00","7.465,00","62.811,00","8.878,00","6.896,00","617,00","2.480,00","5.031,00","119.471,00","381.828,00","98,00","2.737,00","601,00","1.031,00","72.180,00","1.783,00","2.233,00","59.781,00","1.754,00","2.468,00","1.336,00","513,00","1.812,00","2.069,00","775,00","8.776,00","11.740,00","34.622,00","39.864,00","484,00","526,00","261,00","31.639,00","1.090,00","5.144,00","4.841,00","24.262,00","6.510,00","2.396,00","5.256,00","2.559,00","1.282,00","67.067,00","3.386,00","2.424,00","678,00","4.100,00","565,00","2.766,00","9.185,00","18.156,00","376,00","1.793,00","335,00","722,00","1.039,00","6.121,00","27.633,00","155,00","7.614,00"
2008,"52.173,00","97.478,00","260,00","28.542,00","6.025,00","12.740,00","332,00","86.619,00","64.573,00","740,00","51.975,00","452.705,00","8.043,00","76.559,00","9.840,00","7.630,00","824,00","3.285,00","5.854,00","128.063,00","420.608,00","88,00","2.822,00","887,00","1.495,00","84.906,00","2.528,00","2.510,00","63.920,00","2.011,00","3.033,00","1.342,00","379,00","2.227,00","3.046,00","1.143,00","10.022,00","12.569,00","39.825,00","46.059,00","742,00","869,00","101,00","30.589,00","1.062,00","6.188,00","5.302,00","27.031,00","7.344,00","2.775,00","8.169,00","3.264,00","683,00","66.455,00","3.624,00","3.122,00","1.398,00","5.560,00","1.014,00","2.666,00","9.931,00","17.752,00","937,00","2.406,00","334,00","942,00","1.744,00","7.962,00","33.871,00","536,00","7.567,00"
2009,"51.864,00","121.172,00","254,00","30.947,00","6.087,00","11.874,00","330,00","93.408,00","82.764,00","753,00","54.595,00","464.153,00","9.257,00","87.225,00","7.824,00","7.842,00","944,00","5.139,00","5.903,00","136.054,00","426.325,00","131,00","2.938,00","991,00","1.062,00","90.714,00","2.492,00","2.334,00","66.071,00","1.659,00","2.971,00","1.375,00","369,00","1.439,00","3.406,00","1.114,00","7.587,00","13.657,00","40.426,00","40.018,00","441,00","748,00","136,00","28.623,00","1.203,00","5.701,00","5.263,00","25.530,00","8.956,00","3.914,00","7.510,00","3.344,00","501,00","58.629,00","3.569,00","4.676,00","1.252,00","5.373,00","661,00","2.444,00","8.971,00","18.169,00","603,00","2.057,00","366,00","820,00","1.485,00","8.648,00","36.789,00","228,00","7.883,00"
2010,"53.201,00","127.062,00","253,00","29.659,00","6.454,00","11.520,00","551,00","86.181,00","87.674,00","686,00","52.955,00","595.944,00","9.484,00","98.642,00","10.157,00","8.765,00","681,00","4.855,00","5.760,00","152.445,00","417.232,00","141,00","2.663,00","910,00","881,00","96.666,00","2.268,00","2.451,00","66.985,00","1.632,00","2.797,00","1.477,00","615,00","1.230,00","3.526,00","1.432,00","6.346,00","12.978,00","41.831,00","30.604,00","487,00","916,00","130,00","38.097,00","1.117,00","5.675,00","5.363,00","24.795,00","10.718,00","3.914,00","6.140,00","3.506,00","506,00","54.182,00","3.052,00","3.719,00","1.237,00","5.487,00","868,00","2.689,00","9.337,00","18.217,00","647,00","2.269,00","460,00","950,00","1.389,00","8.219,00","38.469,00","229,00","8.809,00"
2011,"56.197,00","147.403,00","286,00","30.436,00","6.791,00","12.383,00","367,00","88.042,00","117.537,00","917,00","57.454,00","741.717,00","11.896,00","112.816,00","12.059,00","9.302,00","864,00","4.172,00","6.023,00","160.841,00","411.935,00","222,00","4.948,00","898,00","883,00","105.231,00","2.628,00","2.445,00","72.900,00","1.476,00","3.451,00","1.930,00","952,00","1.334,00","3.471,00","1.533,00","5.525,00","12.809,00","45.192,00","43.794,00","523,00","1.246,00","229,00","46.005,00","1.269,00","5.827,00","5.134,00","24.486,00","10.960,00","4.631,00","6.268,00","4.027,00","557,00","55.415,00","3.211,00","3.234,00","1.511,00","7.429,00","1.348,00","2.994,00","9.895,00","18.832,00","799,00","2.489,00","364,00","1.547,00","1.726,00","10.303,00","50.185,00","605,00","13.694,00"
2012,"62.051,00","158.950,00","307,00","35.745,00","7.498,00","13.214,00","781,00","101.546,00","126.085,00","1.064,00","61.362,00","806.929,00","12.180,00","133.975,00","13.318,00","9.319,00","884,00","3.755,00","5.884,00","176.071,00","447.218,00","225,00","5.746,00","1.139,00","797,00","111.041,00","2.701,00","2.628,00","81.851,00","1.233,00","3.486,00","1.988,00","1.027,00","1.369,00","4.165,00","1.584,00","5.655,00","13.082,00","46.845,00","56.526,00","600,00","1.155,00","225,00","51.229,00","1.393,00","5.923,00","5.616,00","24.831,00","12.908,00","4.756,00","6.076,00","4.600,00","591,00","56.386,00","3.568,00","2.800,00","1.794,00","8.469,00","1.252,00","2.943,00","10.664,00","20.310,00","1.023,00","2.991,00","499,00","1.580,00","1.766,00","11.846,00","65.930,00","822,00","9.853,00"
2013,"62.570,00","155.145,00","355,00","36.373,00","7.813,00","13.893,00","512,00","111.983,00","143.538,00","965,00","62.820,00","886.485,00","12.864,00","134.725,00","14.000,00","9.489,00","848,00","3.562,00","5.761,00","208.358,00","487.328,00","209,00","5.404,00","1.280,00","915,00","122.567,00","2.597,00","2.865,00","81.904,00","1.288,00","3.829,00","2.349,00","1.455,00","1.877,00","4.454,00","1.891,00","5.904,00","11.809,00","47.624,00","67.639,00","844,00","1.556,00","241,00","60.270,00","1.287,00","5.913,00","5.406,00","25.299,00","15.121,00","5.104,00","7.960,00","5.249,00","664,00","56.783,00","4.336,00","2.962,00","1.975,00","8.966,00","1.523,00","2.672,00","11.014,00","21.612,00","1.316,00","3.243,00","602,00","1.971,00","1.883,00","12.509,00","158.215,00","943,00","8.953,00"
2014,"68.703,00","155.931,00","186,00","41.842,00","7.964,00","15.398,00","431,00","126.689,00","147.875,00","1.248,00","68.194,00","903.793,00","16.607,00","151.876,00","17.265,00","11.452,00","981,00","4.248,00","6.221,00","223.995,00","514.227,00","326,00","5.100,00","1.282,00","919,00","131.174,00","3.214,00","3.033,00","82.260,00","1.572,00","3.900,00","2.310,00","1.977,00","1.800,00","5.265,00","2.103,00","5.915,00","13.615,00","55.109,00","59.853,00","868,00","1.898,00","264,00","67.016,00","1.421,00","6.127,00","6.578,00","26.765,00","16.367,00","6.452,00","7.224,00","5.808,00","691,00","61.234,00","3.659,00","2.768,00","1.966,00","9.405,00","1.868,00","2.604,00","11.480,00","22.515,00","1.348,00","3.635,00","604,00","1.950,00","2.144,00","13.821,00","48.411,00","868,00","11.322,00"
2015,"74.489,00","170.960,00","217,00","41.568,00","8.154,00","15.524,00","725,00","128.943,00","148.312,00","1.276,00","70.560,00","984.584,00","19.243,00","165.384,00","23.094,00","24.874,00","842,00","4.604,00","6.737,00","256.127,00","545.212,00","413,00","6.644,00","1.450,00","930,00","138.902,00","2.906,00","2.765,00","88.921,00","1.455,00","4.489,00","2.496,00","2.538,00","2.002,00","5.684,00","1.490,00","6.220,00","13.764,00","60.385,00","55.311,00","814,00","2.052,00","287,00","76.368,00","1.480,00","5.894,00","6.478,00","28.606,00","17.539,00","8.185,00","8.140,00","6.299,00","905,00","63.213,00","4.346,00","3.394,00","2.192,00","8.145,00","1.936,00","2.999,00","11.530,00","23.790,00","1.527,00","5.321,00","665,00","2.675,00","2.226,00","14.391,00","42.111,00","764,00","11.243,00"
2016,"74.208,00","175.488,00","242,00","42.870,00","8.187,00","16.697,00","756,00","136.805,00","148.296,00","1.490,00","71.833,00","1.055.880,00","25.648,00","189.754,00","21.347,00","29.836,00","984,00","4.984,00","6.501,00","318.172,00","586.479,00","347,00","5.962,00","1.717,00","913,00","144.927,00","3.417,00","2.798,00","92.316,00","1.758,00","6.249,00","3.172,00","2.912,00","1.936,00","5.900,00","2.028,00","6.453,00","14.219,00","66.697,00","47.090,00","1.043,00","1.721,00","366,00","87.443,00","1.873,00","5.523,00","8.103,00","33.582,00","19.834,00","8.232,00","7.894,00","7.154,00","879,00","69.302,00","4.799,00","3.341,00","2.647,00","9.395,00","2.070,00","2.468,00","11.170,00","23.965,00","1.681,00","5.952,00","601,00","3.399,00","2.322,00","18.329,00","59.192,00","1.077,00","11.836,00"
2017,"78.199,00","205.465,00","190,00","41.810,00","8.874,00","16.181,00","1.359,00","146.660,00","173.753,00","1.490,00","77.563,00","1.101.055,00","31.408,00","200.812,00","29.323,00","18.468,00","1.056,00","4.208,00","6.534,00","288.987,00","598.685,00","247,00","6.835,00","1.529,00","978,00","147.214,00","3.515,00","2.646,00","96.283,00","2.139,00","6.127,00","2.751,00","3.024,00","2.106,00","7.201,00","2.422,00","6.588,00","14.130,00","73.955,00","48.171,00","1.142,00","2.070,00","295,00","93.763,00","2.041,00","5.449,00","8.268,00","34.979,00","20.251,00","11.438,00","8.396,00","7.905,00","802,00","69.506,00","4.767,00","7.132,00","2.839,00","8.648,00","2.096,00","2.569,00","11.298,00","24.133,00","1.561,00","7.100,00","637,00","3.150,00","2.482,00","20.187,00","196.495,00","578,00","10.421,00"
2018,"81.684,00","216.041,00","200,00","39.565,00","9.083,00","16.655,00","553,00","158.974,00","177.711,00","1.714,00","86.634,00","1.159.188,00","37.740,00","219.452,00","32.133,00","17.387,00","1.101,00","9.724,00","7.124,00","293.231,00","641.280,00","292,00","5.884,00","1.777,00","1.157,00","147.830,00","3.405,00","2.849,00","100.951,00","2.526,00","6.621,00","3.432,00","4.191,00","2.352,00","8.742,00","2.994,00","7.539,00","15.285,00","73.653,00","47.605,00","1.348,00","2.307,00","347,00","103.620,00","1.667,00","5.499,00","7.693,00","35.629,00","22.036,00","11.560,00","9.271,00","8.838,00","861,00","74.124,00","5.509,00","8.882,00","3.336,00","8.921,00","2.608,00","3.008,00","11.624,00","24.046,00","1.919,00","8.385,00","581,00","3.483,00","2.472,00","22.932,00","367.739,00","776,00","12.150,00"
2019,"86.307,00","214.608,00","300,00","41.347,00","9.622,00","16.953,00","596,00","188.642,00","193.898,00","1.668,00","94.475,00","1.196.234,00","41.067,00","223.943,00","29.652,00","21.258,00","1.328,00","12.173,00","7.394,00","339.486,00","656.991,00","343,00","5.856,00","2.270,00","1.286,00","158.118,00","4.642,00","2.594,00","108.873,00","2.752,00","8.244,00","3.946,00","4.101,00","2.705,00","9.505,00","4.168,00","7.347,00","16.664,00","73.261,00","40.734,00","1.303,00","2.434,00","429,00","128.829,00","1.836,00","5.668,00","7.511,00","36.526,00","22.386,00","11.351,00","10.815,00","9.733,00","1.406,00","71.322,00","6.030,00","8.842,00","3.540,00","10.152,00","2.666,00","3.171,00","11.531,00","23.696,00","1.975,00","8.477,00","778,00","3.418,00","3.227,00","22.870,00","99.856,00","752,00","13.906,00"
2020,"17.779,00","45.092,00","33,00","6.383,00","1.664,00","2.170,00","133,00","52.445,00","34.446,00","304,00","19.383,00","288.397,00","5.748,00","48.950,00","8.990,00","4.087,00","282,00","2.025,00","1.552,00","66.547,00","127.555,00","55,00","710,00","345,00","149,00","28.497,00","873,00","543,00","16.350,00","402,00","1.112,00","638,00","975,00","559,00","1.558,00","519,00","1.002,00","3.309,00","11.336,00","9.666,00","351,00","294,00","49,00","22.592,00","266,00","1.043,00","771,00","5.734,00","3.660,00","2.348,00","2.207,00","1.606,00","165,00","11.682,00","962,00","1.322,00","658,00","2.669,00","240,00","443,00","2.516,00","4.900,00","289,00","1.830,00","82,00","791,00","891,00","3.750,00","7.351,00","117,00","2.381,00"
2021,"9.146,00","14.049,00","94,00","572,00","841,00","2.020,00","105,00","4.340,00","10.542,00","331,00","7.872,00","36.744,00","2.231,00","40.952,00","549,00","2.618,00","194,00","243,00","665,00","9.869,00","177.000,00","97,00","739,00","200,00","276,00","32.855,00","205,00","192,00","12.909,00","481,00","1.841,00","781,00","45,00","616,00","551,00","70,00","414,00","3.305,00","10.951,00","1.079,00","192,00","39,00","37,00","24.290,00","222,00","326,00","119,00","3.272,00","2.083,00","1.444,00","1.838,00","1.086,00","330,00","2.782,00","571,00","1.997,00","1.035,00","2.570,00","48,00","76,00","1.630,00","4.199,00","65,00","143,00","42,00","515,00","956,00","1.798,00","0,00","32,00","2.010,00"
2022,"41.551,00","80.426,00","124,00","9.348,00","4.233,00","10.280,00","234,00","97.776,00","89.418,00","1.133,00","40.662,00","365.621,00","7.712,00","133.035,00","4.397,00","19.382,00","785,00","2.268,00","4.879,00","156.940,00","464.759,00","174,00","5.088,00","1.287,00","958,00","94.665,00","2.817,00","1.226,00","54.150,00","2.148,00","6.118,00","2.885,00","343,00","1.966,00","4.955,00","750,00","4.386,00","13.432,00","39.985,00","5.166,00","949,00","514,00","171,00","76.434,00","987,00","2.538,00","1.642,00","22.088,00","12.188,00","4.672,00","7.389,00","5.764,00","974,00","35.446,00","3.497,00","7.411,00","3.086,00","4.323,00","635,00","1.034,00","5.341,00","12.559,00","501,00","851,00","239,00","2.030,00","1.717,00","9.081,00","0,00","295,00","7.457,00"